Sample;usb;batterie;usb_batterie
995;206182;203430;207246
996;206123;203446;207249
997;206153;203478;207204
998;206233;203482;207262
999;206342;203433;207232
1000;206316;203470;207303
1001;206397;203499;207281
1002;206423;203630;207372
1003;206283;203596;207244
1004;206338;203562;207238
1005;206302;203556;207290
1006;206304;203581;207324
1007;206353;203482;207195
1008;206385;203596;207137
1009;206351;203578;207126
1010;206309;203477;207316
1011;206379;203560;207251
1012;206366;203645;207210
1013;206392;203550;207202
1014;206395;203397;207273
1015;206595;203519;207153
1016;206373;203566;207165
1017;206383;203614;207173
1018;206227;203645;207272
1019;206340;203546;207422
1020;206195;203611;207282
1021;206235;203551;207243
1022;206255;203565;207329
1023;206282;203733;207329
1024;206187;203753;207409
1025;206220;203720;207405
1026;206204;203782;207358
1027;206092;203769;207312
1028;206265;203767;207339
1029;206175;203744;207430
1030;206291;203637;207485
1031;206343;203682;207421
1032;206415;203707;207424
1033;206449;203746;207484
1034;206374;203860;207573
1035;206325;203823;207414
1036;206327;203851;207539
1037;206407;203848;207469
1038;206454;203827;207717
1039;206595;203879;207533
1040;206485;203879;207492
1041;206543;203833;207575
1042;206524;203796;207625
1043;206587;203779;207548
1044;206490;203759;207683
1045;206485;203704;207566
1046;206358;203739;207664
1047;206489;203837;207510
1048;206401;203732;207493
1049;206430;203745;207524
1050;206435;203763;207584
1051;206477;203920;207552
1052;206478;203844;207570
1053;206573;203871;207617
1054;206647;203829;207611
1055;206606;203887;207581
1056;206621;203771;207548
1057;206682;203791;207402
1058;206656;203945;207425
1059;206631;204066;207404
1060;206668;203972;207425
1061;206552;203888;207450
1062;206463;203913;207571
1063;206457;203935;207464
1064;206617;203910;207550
1065;206643;204052;207555
1066;206529;203872;207496
1067;206719;203906;207544
1068;206765;203850;207583
1069;206815;203836;207576
1070;206754;203811;207473
1071;206721;203852;207430
1072;206729;203885;207464
1073;206909;203969;207517
1074;206859;203917;207433
1075;206775;203868;207376
1076;206815;204020;207413
1077;206821;204026;207502
1078;206768;203992;207528
1079;206978;204118;207550
1080;206732;204087;207520
1081;206811;204069;207542
1082;206711;204096;207587
1083;206751;204091;207594
1084;206561;204068;207648
1085;206806;204157;207617
1086;206781;204088;207741
1087;206814;204141;207751
1088;206840;204179;207832
1089;206813;204286;207859
1090;206651;204296;207843
1091;206738;204224;207742
1092;206747;204245;207805
1093;206693;204173;207828
1094;206610;204129;207867
1095;206626;204199;207767
1096;206662;204144;207743
1097;206465;204169;207865
1098;206532;204227;207865
1099;206415;204056;207897
1100;206461;204185;207875
1101;206457;204237;207949
1102;206483;204244;207912
1103;206392;204191;208052
1104;206441;204127;208055
1105;206584;204211;207949
1106;206642;204182;208021
1107;206691;204175;207934
1108;206633;204146;207909
1109;206712;204269;207993
1110;206619;204315;208026
1111;206777;204217;208111
1112;206656;204207;208039
1113;206845;204308;207959
1114;206753;204202;208071
1115;206741;204257;208050
1116;206804;204275;207862
1117;206719;204272;207855
1118;206929;204273;207900
1119;206857;204217;207888
1120;206908;204272;207918
1121;206925;204341;207890
1122;206839;204377;207851
1123;206871;204413;207939
1124;206768;204405;208002
1125;206717;204441;208008
1126;206631;204364;207979
1127;206646;204424;207863
1128;206617;204420;207884
1129;206722;204361;208001
1130;206565;204342;207916
1131;206588;204319;208003
1132;206639;204204;208036
1133;206729;204227;207970
1134;206780;204218;207990
1135;206785;204356;208095
1136;206836;204297;208142
1137;206831;204374;208020
1138;206807;204366;208048
1139;206827;204425;207941
1140;206841;204490;208120
1141;206825;204399;207984
1142;206632;204550;207908
1143;206726;204462;208059
1144;206712;204471;208047
1145;206877;204459;208092
1146;206868;204529;208071
1147;206806;204464;208032
1148;206866;204443;208024
1149;206816;204386;208066
1150;206847;204496;208228
1151;206802;204395;208108
1152;206668;204436;208105
1153;206634;204506;208232
1154;206708;204433;208239
1155;206855;204421;208191
1156;206846;204412;208187
1157;206860;204444;208227
1158;206697;204418;208251
1159;206651;204427;208384
1160;206720;204430;208299
1161;206800;204483;208328
1162;206682;204450;208424
1163;206709;204319;208455
1164;206696;204351;208392
1165;206599;204454;208385
1166;206680;204427;208359
1167;206724;204513;208374
1168;206697;204449;208398
1169;206698;204509;208267
1170;206854;204490;208329
1171;206889;204432;208366
1172;206955;204429;208290
1173;206866;204422;208125
1174;206878;204534;208344
1175;206891;204544;208282
1176;206738;204455;208223
1177;206913;204581;208355
1178;206917;204612;208352
1179;206943;204552;208294
1180;206820;204577;208349
1181;206825;204628;208320
1182;206854;204640;208335
1183;206822;204541;208481
1184;206838;204608;208448
1185;206858;204594;208455
1186;206795;204562;208447
1187;206682;204656;208409
1188;206681;204625;208450
1189;206794;204622;208515
1190;206749;204554;208613
1191;206701;204488;208518
1192;206704;204619;208452
1193;206705;204683;208545
1194;206699;204700;208601
1195;206682;204727;208592
1196;206717;204665;208545
1197;206757;204669;208397
1198;206798;204648;208313
1199;206774;204645;208413
1200;206838;204647;208495
1201;206832;204686;208397
1202;206812;204798;208293
1203;206878;204723;208343
1204;206919;204862;208342
1205;206855;204751;208264
1206;206816;204897;208251
1207;206780;204899;208364
1208;206724;204914;208274
1209;206806;204876;208197
1210;206741;204915;208325
1211;206822;204892;208411
1212;206781;204921;208258
1213;206766;204822;208319
1214;206713;204934;208415
1215;206843;204801;208376
1216;206850;204772;208395
1217;206743;204764;208449
1218;206758;204916;208500
1219;206767;204765;208398
1220;206681;204828;208428
1221;206680;204769;208434
1222;206735;204676;208431
1223;206848;204708;208406
1224;206735;204770;208429
1225;206558;204723;208373
1226;206789;204780;208479
1227;206756;204756;208508
1228;206674;204785;208567
1229;206649;204840;208405
1230;206729;204841;208301
1231;206639;204817;208420
1232;206544;204740;208515
1233;206668;204784;208472
1234;206743;204803;208358
1235;206836;204759;208398
1236;206786;204841;208429
1237;206871;204836;208413
1238;206876;204815;208449
1239;206943;204908;208317
1240;206851;204973;208422
1241;206774;204952;208474
1242;206731;204914;208498
1243;206820;204851;208365
1244;206774;204875;208470
1245;206792;204910;208470
