Sample;20ms_raw;freilaufend_raw;Mittelwert_20ms;Mittelwert_freilaufend;20ms;freilaufend
145;210567;187852;213254.6729;187665.6733;-2687.672852;186.3266602
146;210610;187797;213254.6729;187665.6733;-2644.672852;131.3266602
147;210583;187896;213254.6729;187665.6733;-2671.672852;230.3266602
148;210789;187807;213254.6729;187665.6733;-2465.672852;141.3266602
149;210830;187737;213254.6729;187665.6733;-2424.672852;71.32666016
150;210749;187746;213254.6729;187665.6733;-2505.672852;80.32666016
151;210755;187834;213254.6729;187665.6733;-2499.672852;168.3266602
152;210730;187768;213254.6729;187665.6733;-2524.672852;102.3266602
153;210768;187774;213254.6729;187665.6733;-2486.672852;108.3266602
154;210759;187816;213254.6729;187665.6733;-2495.672852;150.3266602
155;210757;187837;213254.6729;187665.6733;-2497.672852;171.3266602
156;210677;187856;213254.6729;187665.6733;-2577.672852;190.3266602
157;210713;187907;213254.6729;187665.6733;-2541.672852;241.3266602
158;210786;187817;213254.6729;187665.6733;-2468.672852;151.3266602
159;210781;187719;213254.6729;187665.6733;-2473.672852;53.32666016
160;210826;187709;213254.6729;187665.6733;-2428.672852;43.32666016
161;210776;187778;213254.6729;187665.6733;-2478.672852;112.3266602
162;210853;187803;213254.6729;187665.6733;-2401.672852;137.3266602
163;210819;187866;213254.6729;187665.6733;-2435.672852;200.3266602
164;210921;187844;213254.6729;187665.6733;-2333.672852;178.3266602
165;210956;187774;213254.6729;187665.6733;-2298.672852;108.3266602
166;211041;187869;213254.6729;187665.6733;-2213.672852;203.3266602
167;211053;187849;213254.6729;187665.6733;-2201.672852;183.3266602
168;211021;187789;213254.6729;187665.6733;-2233.672852;123.3266602
169;210931;187775;213254.6729;187665.6733;-2323.672852;109.3266602
170;210972;187774;213254.6729;187665.6733;-2282.672852;108.3266602
171;211044;187827;213254.6729;187665.6733;-2210.672852;161.3266602
172;210967;187805;213254.6729;187665.6733;-2287.672852;139.3266602
173;211062;187748;213254.6729;187665.6733;-2192.672852;82.32666016
174;211056;187764;213254.6729;187665.6733;-2198.672852;98.32666016
175;211085;187803;213254.6729;187665.6733;-2169.672852;137.3266602
176;211169;187862;213254.6729;187665.6733;-2085.672852;196.3266602
177;211171;187810;213254.6729;187665.6733;-2083.672852;144.3266602
178;211329;187786;213254.6729;187665.6733;-1925.672852;120.3266602
179;211339;187839;213254.6729;187665.6733;-1915.672852;173.3266602
180;211280;187776;213254.6729;187665.6733;-1974.672852;110.3266602
181;211284;187851;213254.6729;187665.6733;-1970.672852;185.3266602
182;211182;187940;213254.6729;187665.6733;-2072.672852;274.3266602
183;211296;187884;213254.6729;187665.6733;-1958.672852;218.3266602
184;211319;187962;213254.6729;187665.6733;-1935.672852;296.3266602
185;211384;187837;213254.6729;187665.6733;-1870.672852;171.3266602
186;211458;187894;213254.6729;187665.6733;-1796.672852;228.3266602
187;211374;187824;213254.6729;187665.6733;-1880.672852;158.3266602
188;211335;187804;213254.6729;187665.6733;-1919.672852;138.3266602
189;211404;187887;213254.6729;187665.6733;-1850.672852;221.3266602
190;211389;187826;213254.6729;187665.6733;-1865.672852;160.3266602
191;211327;187827;213254.6729;187665.6733;-1927.672852;161.3266602
192;211469;187755;213254.6729;187665.6733;-1785.672852;89.32666016
193;211487;187792;213254.6729;187665.6733;-1767.672852;126.3266602
194;211506;187749;213254.6729;187665.6733;-1748.672852;83.32666016
195;211413;187727;213254.6729;187665.6733;-1841.672852;61.32666016
196;211495;187738;213254.6729;187665.6733;-1759.672852;72.32666016
197;211530;187702;213254.6729;187665.6733;-1724.672852;36.32666016
198;211480;187737;213254.6729;187665.6733;-1774.672852;71.32666016
199;211485;187791;213254.6729;187665.6733;-1769.672852;125.3266602
200;211519;187824;213254.6729;187665.6733;-1735.672852;158.3266602
201;211586;187764;213254.6729;187665.6733;-1668.672852;98.32666016
202;211594;187698;213254.6729;187665.6733;-1660.672852;32.32666016
203;211489;187790;213254.6729;187665.6733;-1765.672852;124.3266602
204;211516;187789;213254.6729;187665.6733;-1738.672852;123.3266602
205;211538;187685;213254.6729;187665.6733;-1716.672852;19.32666016
206;211551;187642;213254.6729;187665.6733;-1703.672852;-23.67333984
207;211591;187700;213254.6729;187665.6733;-1663.672852;34.32666016
208;211583;187759;213254.6729;187665.6733;-1671.672852;93.32666016
209;211638;187700;213254.6729;187665.6733;-1616.672852;34.32666016
210;211634;187743;213254.6729;187665.6733;-1620.672852;77.32666016
211;211670;187637;213254.6729;187665.6733;-1584.672852;-28.67333984
212;211774;187729;213254.6729;187665.6733;-1480.672852;63.32666016
213;211744;187757;213254.6729;187665.6733;-1510.672852;91.32666016
214;211732;187797;213254.6729;187665.6733;-1522.672852;131.3266602
215;211712;187782;213254.6729;187665.6733;-1542.672852;116.3266602
216;211747;187864;213254.6729;187665.6733;-1507.672852;198.3266602
217;211659;187950;213254.6729;187665.6733;-1595.672852;284.3266602
218;211682;187849;213254.6729;187665.6733;-1572.672852;183.3266602
219;211704;187879;213254.6729;187665.6733;-1550.672852;213.3266602
220;211789;187920;213254.6729;187665.6733;-1465.672852;254.3266602
221;211752;187856;213254.6729;187665.6733;-1502.672852;190.3266602
222;211673;187861;213254.6729;187665.6733;-1581.672852;195.3266602
223;211782;187874;213254.6729;187665.6733;-1472.672852;208.3266602
224;211768;187798;213254.6729;187665.6733;-1486.672852;132.3266602
225;211849;187913;213254.6729;187665.6733;-1405.672852;247.3266602
226;211765;187798;213254.6729;187665.6733;-1489.672852;132.3266602
227;211870;187887;213254.6729;187665.6733;-1384.672852;221.3266602
228;211838;187960;213254.6729;187665.6733;-1416.672852;294.3266602
229;211796;187894;213254.6729;187665.6733;-1458.672852;228.3266602
230;211847;187808;213254.6729;187665.6733;-1407.672852;142.3266602
231;211907;187917;213254.6729;187665.6733;-1347.672852;251.3266602
232;212014;187906;213254.6729;187665.6733;-1240.672852;240.3266602
233;211972;187874;213254.6729;187665.6733;-1282.672852;208.3266602
234;211928;187914;213254.6729;187665.6733;-1326.672852;248.3266602
